Family;Genus;Species;Species English
Epinephelidae;Cephalopholis;sexmaculata;Sixspot Grouper
Epinephelidae;Cephalopholis;spiloparaea;Strawberry Grouper
Epinephelidae;Cephalopholis;urodeta;Flagtail Grouper
Labridae-Sc;Cetoscarus;bicolor;Bicolor Parrotfish
Labridae-Sc;Cetoscarus;ocellatus;Spotted Parrotfish
Chaetodontidae;Chaetodon;adiergastos;Panda Butterflyfish
Chaetodontidae;Chaetodon;auriga;Threadfin Butterflyfish
Chaetodontidae;Chaetodon;austriacus;Exquisite Butterflyfish
Chaetodontidae;Chaetodon;baronessa;Eastern Triangular Butterflyfish
Chaetodontidae;Chaetodon;bennetti;Eclipse Butterflyfish
Chaetodontidae;Chaetodon;citrinellus;Speckled Butterflyfish
Chaetodontidae;Chaetodon;ephippium;Saddled Butterflyfish
Chaetodontidae;Chaetodon;fasciatus;Diagonal Butterflyfish
Chaetodontidae;Chaetodon;guentheri;Yellowrimmed Butterflyfish
Chaetodontidae;Chaetodon;kleinii;Klein's Butterflyfish
Chaetodontidae;Chaetodon;larvatus;Hooded Butterflyfish
Chaetodontidae;Chaetodon;lineolatus;Lined Butterflyfish
Chaetodontidae;Chaetodon;lunula;Raccoon Butterflyfish
Chaetodontidae;Chaetodon;lunulatus;Redfin Butterflyfish
Chaetodontidae;Chaetodon;melannotus;Black-Backed Butterflyfish
Chaetodontidae;Chaetodon;mesoleucos;Whiteface Butterflyfish
Chaetodontidae;Chaetodon;meyeri;Meyer's Butterflyfish
Chaetodontidae;Chaetodon;ocellicaudus;Spot-Tail Butterflyfish
Chaetodontidae;Chaetodon;octofasciatus;Eight-Banded Butterflyfish
Chaetodontidae;Chaetodon;ornatissimus;Ornate Butterflyfish
Chaetodontidae;Chaetodon;paucifasciatus;Crown Butterflyfish
Chaetodontidae;Chaetodon;plebeius;Blue-Spot Butterflyfish
Chaetodontidae;Chaetodon;punctatofasciatus;Spotbanded Butterflyfish
Chaetodontidae;Chaetodon;rafflesii;Latticed Butterflyfish
Chaetodontidae;Chaetodon;reticulatus;Mailed Butterflyfish
Chaetodontidae;Chaetodon;semeion;Semion Dotted Butterflyfish
Chaetodontidae;Chaetodon;semilarvatus;Bluecheek Butterflyfish
Chaetodontidae;Chaetodon;speculum;Oval-Spot Butterflyfish
Chaetodontidae;Chaetodon;trifascialis;Chevroned Butterflyfish
Chaetodontidae;Chaetodon;trifasciatus;Indian Redfin Butterflyfish
Chaetodontidae;Chaetodon;ulietensis;Double-Saddle Butterflyfish
Chaetodontidae;Chaetodon;unimaculatus;Teardrop Butterflyfish
Chaetodontidae;Chaetodon;vagabundus;Vagabond Butterflyfish
Chaetodontidae;Chaetodon;xanthurus;Pearlscale Butterflyfish
Pomacanthidae;Chaetodontoplus;dimidiatus;Pewter Angelfish
Pomacanthidae;Chaetodontoplus;duboulayi;Scribbled Angelfish
Pomacanthidae;Chaetodontoplus;mesoleucus;Vermiculated Angelfish
Pomacanthidae;Chaetodontoplus;poliourus;Greytail Angelfish
Chanidae;Chanos;chanos;Milkfish
Labridae;Cheilinus;abudjubbe;Abudjubbe Wrasse
Labridae;Cheilinus;chlorourus;Floral Wrasse
Labridae;Cheilinus;fasciatus;Redbreasted Wrasse
Labridae;Cheilinus;lunulatus;Broomtail Wrasse
Labridae;Cheilinus;oxycephalus;Snooty Wrasse
Labridae;Cheilinus;quinquecinctus;Whitebarred Wrasse
Labridae;Cheilinus;trilobatus;Tripletail Wrasse
Labridae;Cheilinus;undulatus;Humphead-Napoleon Wrasse
Labridae;Cheilio;inermis;Cigar Wrasse
Apogonidae;Cheilodipterus;alleni;Allen's Cardinalfish
Apogonidae;Cheilodipterus;artus;Wolf Cardinalfish
Apogonidae;Cheilodipterus;intermedius;Intermediate Cardinalfish
Apogonidae;Cheilodipterus;isostigma;Toothy Cardinalfish
Apogonidae;Cheilodipterus;lachneri;Aqaba Cardinalfish
Apogonidae;Cheilodipterus;macrodon;Tiger Cardinalfish
Apogonidae;Cheilodipterus;nigrotaeniatus;Mimic Cardinalfish
Apogonidae;Cheilodipterus;novemstriatus;Indian Ocean Twospot Cardinalfish
Apogonidae;Cheilodipterus;persicus;Persian Cardinalfish
Apogonidae;Cheilodipterus;quinquelineatus;Fivelined Cardinalfish
