Family;Genus;Species;Species English;Bangka;Red Sea;Both;All
Chaetodontidae;Heniochus;monoceros;Masked Bannerfish;1;0;0;1
Chaetodontidae;Heniochus;singularius;Singular Bannerfish;1;0;0;1
Chaetodontidae;Heniochus;varius;Humphead Bannerfish;1;0;0;1
Chanidae;Chanos;chanos;Milkfish;1;1;1;1
Cirrhitidae;Cirrhitichthys;aprinus;Threadfin Hawkfish;1;0;0;1
Cirrhitidae;Cirrhitichthys;falco;Dwarf Hawkfish;1;0;0;1
Cirrhitidae;Cirrhitichthys;oxycephalus;Pixy Hawkfish;1;1;1;1
Cirrhitidae;Cirrhitus;pinnulatus;Stocky Hawkfish;1;0;0;1
Cirrhitidae;Cirrhitus;spilotoceps;NA;1;0;0;1
Cirrhitidae;Cirrhitus;spilotoceps;Red Sea Stocky Hawkfish;0;1;0;1
Cirrhitidae;Cyprinocirrhites;polyactis;Lyretail Hawkfish;1;0;0;1
Cirrhitidae;Oxycirrhites;typus;Longnose Hawkfish;1;1;1;1
Cirrhitidae;Paracirrhites;arcatus;Ringeye Hawkfish;1;0;0;1
Cirrhitidae;Paracirrhites;forsteri;Freckled Hawkfish;1;1;1;1
Clupeidae;Herklotsichthys;punctatus;Spotback Herring;1;0;0;1
Clupeidae;Herklotsichthys;quadrimaculatus;Goldspot Herring;1;0;0;1
Clupeidae;Spratelloides;delicatulus;Blueback Sprat;1;0;0;1
Congridae;Ariosoma;anagoides;Bigeye Conger;1;0;0;1
Congridae;Conger;cinereus;Moustache Conger;1;1;1;1
